DOI	volume	received	accepted	online	title	authors
10.1007/s12517-021-08197-7	14	09-May-20	02-Aug-21	16-Aug-21	"Petro-physical evaluation and identifying possible resource plays using the porosity and resistivity logs, Lower Indus Basin, Pakistan"	"Din, Nizam Ud; Hongbing, Zhang; Kashif, Muhammad; Saeed, Wasif"
10.1007/s12517-021-08169-x	14	27-Mar-21	01-Aug-21	23-Aug-21	Image recognition of coastal environment and aerobics sports based on remote sensing images based on deep learning	"Liu, Min"
10.1007/s12517-021-08270-1	14	02-Apr-18	02-Aug-21	24-Aug-21	Enhancing oil recovery through immiscible water-alternating-CO2 in tight oil formations—a case study of Yaoyingtai Field in China	"Liu, Hua; Chen, Lin; Li, Xiangfang; Wang, Hongya; Sun, Zheng"
10.1007/s12517-021-07831-8	14	28-Aug-20	04-Jun-21	17-Aug-21	"Investigating relationship between soil moisture, hydro-climatic parameters, vegetation, and climate change impacts in a semi-arid basin in Iran"	"Saadatabadi, Abbas Ranjbar; Izadi, Naser; Karakani, Elaheh Ghasemi; Fattahi, Ebrahim; Shamsipour, Ali Akbar"
10.1007/s12517-021-08182-0	14	11-Jun-21	31-Jul-21	17-Aug-21	Geochemical characteristics of South China Sea based on random forest algorithm and Wushu teaching action simulation	"Jianyun, Han"
10.1007/s12517-021-08224-7	14	10-Jun-21	06-Aug-21	24-Aug-21	Adsorption of CO2 by nitrogen doped corn straw based biochar	"Zhou, Yunlong; Wang, Jian; Sun, Meng; Li, Weihao; Hu, Xiaotian"
10.1007/s12517-021-08239-0	14	12-Apr-21	06-Aug-21	24-Aug-21	"A review of polymeric chitin extraction, characterization, and applications"	"Hossin, Mohammed Amzad; Al Shaqsi, Noura Hamed Khalifa; Al Touby, Salem Said Jaroof; Al Sibani, Mohammed Abdullah"
10.1007/s12517-021-08183-z	14	11-Jun-21	31-Jul-21	20-Aug-21	The change of rainfall and atmosphere characteristics based on target tracking algorithm and real-time monitoring of college students’ physical training	"Xianfeng, Wang"
10.1007/s12517-021-08166-0	14	05-May-21	01-Aug-21	21-Aug-21	Landslide assessment by using multi-temporal UAV datasets: a case study in northern Pakistan	"Ahmad, Naseem; Shafique, Muhammad; Hussain, Mian Luqman"
10.1007/s12517-021-08253-2	14	27-Apr-21	11-Aug-21	23-Aug-21	Which environmental factors are more important for geographic distributions of Thymus species and their physio-morphological and phytochemical variations?	"Yousefzadeh, Saeed; Abedi, Rahebeh; Mokhtassi-Bidgoli, Ali"
10.1007/s12517-021-08243-4	14	26-Jan-21	10-Aug-21	27-Aug-21	"Strength enhancement of lateritic soil through mechanical mixing with magnetite nanoparticles, starch solution, and calcite precipitating bacteria"	"Naskar, Joyprakash; Chowdhury, Subhadeep; Adhikary, Avishek; Pal, Supriya; Kazy, Sufia Khannam"
10.1007/s12517-021-07882-x	14	11-Jun-21	07-Jul-21	27-Aug-21	Vegetation distribution and regional carbon sequestration in China: based on spatial panel data analysis	"Xu, Weixiang; Pang, Yao; Ye, Meng"
10.1007/s12517-021-07643-w	14	28-Jul-20	16-Jun-21	27-Aug-21	"Regional groundwater qualitative and quantitative management through hydrogeological modeling in Jangal-Geysour, Razavi Khorasan Province, Iran"	"Sabbaghi, Milad; Shahnazari, Ali; Ziaei, Ali N.; Niazi, Amir"
10.1007/s12517-021-07684-1	14	24-Aug-20	21-Jun-21	04-Sep-21	Water saturation appraisal via permeability and porosity using wireline log of five wells	"Ahmadova, Ulviyya; Agbasi, Okechukwu; Buzkan, Ibrahim; Konul, Hasanli"
10.1007/s12517-021-07992-6	14	17-Apr-21	14-Jul-21	04-Sep-21	"Mapping potential soil erosion using RUSLE, Remote Sensing, and GIS: a case study in the watershed of Oued El Ardjem, Northwest Algeria"	"Ouadja, Abid; Benfetta, Hassan; Porto, Paolo; Flanagan, Dennis C.; Mihoubi, Mustapha Kamel; Omeir, Mohamed Rida; Graia, Mohamed; Ghosal, Kaushik; Talchabhadel, Rocky"
10.1007/s12517-021-08289-4	14	12-Apr-21	16-Aug-21	01-Sep-21	"Soil aggregation, aggregate-associated organic carbon, and total nitrogen under different land use in Regosols of coastal arid lands in Gabes, Tunisia"	"Bouajila, Abdelhakim; Omar, Zohra; Magherbi, Ghalya"
10.1007/s12517-021-08104-0	14	12-May-21	22-Jul-21	16-Aug-21	"Genesis of trondhjemite by low-pressure low-melt fraction anatexis of hornblende-gabbro at Alvand Plutonic Complex (Hamedan, NW Iran): insights from geochemical modelling"	"Lucci, Federico; Saki, Adel; Miri, Mirmohammad; Rabiee, Ahmad; White, John Charles"
10.1007/s12517-021-08220-x	14	14-Jul-20	06-Aug-21	16-Aug-21	Developing a volunteered geographic information-based system for rapidly estimating damage from natural disasters	"Bayazidy-Hasanabad, Mansour; Vayghan, Saeideh Sahebi; Ghasemkhani, Neda; Pradhan, Biswajeet; Alamri, Abdullah"
10.1007/s12517-021-08204-x	14	27-Jun-21	02-Aug-21	19-Aug-21	"Distribution of big caves in the district of Lishui River in Hunan, China"	"Yinguo, Zhang; Qinghua, Chen; Jing, Wang; Xinyu, Xu"
10.1007/s12517-021-08180-2	14	11-Jun-21	31-Jul-21	17-Aug-21	5g edge computing and hospital built-in cache technology application in the evaluation of elderly post-anesthesia care	"Yin, Shanshan; Cui, Suya"
10.1007/s12517-021-08161-5	14	18-Jun-21	01-Aug-21	17-Aug-21	Big data detection of marine biological characteristics and juvenile swimming based on massive data	"Zhao, Weimin; Guo, Yezhou"
10.1007/s12517-021-08054-7	14	08-Feb-21	18-Jul-21	16-Aug-21	Pozzolanic activities of some pyroclastic materials of Tombel Graben (Cameroon Volcanic Line) and potentiality for their use in construction industry	"Djeunou, Eric Donaldo Ntchambia; Tsobnang, Patrice Kenfack; Nkouathio, David Guimolaire; Mohamed, Rachid; Giscard, Doungmo"
10.1007/s12517-021-08231-8	14	09-Jun-21	06-Aug-21	18-Aug-21	"Structural damage zone mapping: a tool to delineate the slope stability of road cuts along the Mandakini River from Rudraprayag to Kund, Uttarakhand-India"	"Puniya, Mohit Kumar; Kaushik, Ashish Kumar; Kumar, Sohan; Joshi, Ramesh Chander; Thakur, Om Prakash; Pant, Pitamber Dutt"
10.1007/s12517-021-08062-7	14	11-Jun-21	18-Jul-21	17-Aug-21	Evaluation of air pollution and business English vocabulary translation in coastal cities based on distributed storage	"Cao, Zhaowen"
10.1007/s12517-021-08101-3	14	02-Mar-21	22-Jul-21	19-Aug-21	Local 3D scene fine detection analysis of circular landform on the southern edge of Dinosaur Valley	"Sha, Gao; Xiping, Yuan; Shu, Gan; Milong, Yang; Lin, Hu; Rui, Bi"
10.1007/s12517-021-08261-2	14	19-Oct-20	12-Aug-21	24-Aug-21	Attenuation characteristics of thermoelastic waves in unsaturated soil	"Liu, Hongbo; Jiang, Mingjing; Zhou, Fengxi; Lu, Guowen"
