DOI	volume	received	accepted	online	title	authors
10.1007/s12517-021-07097-0	14	26-Nov-20	09-Apr-21	28-Apr-21	"Hydrogeochemical processes controlling groundwater in Western Sohag Governorate, Upper Egypt"	"Embaby, Ashraf; Ali, Mohamed"
10.1007/s12517-021-07101-7	14	None	None	03-May-21	Correction to: experimental investigations and soft computations for predicting the erosion mechanisms and peak outflow discharge caused by embankment dam breach	"Kouzehgar, Kamran; Hassanzadeh, Yousef; Eslamian, Saeid; Yousefzadeh Fard, Mikaeil; Babaeian Amini, Alireza"
10.1007/s12517-021-07100-8	14	30-Dec-20	09-Apr-21	17-Apr-21	"An “out-of-the-depression” drainage solution to the land degradation problem in Siwa Oasis, Egypt"	"Hussein, Mona Sayed"
10.1007/s12517-021-07268-z	14	11-Sep-20	04-May-21	16-May-21	"Spatio-temporal variability of intra-monsoonal rainfall in Pravara-Mula River Basin, India"	"Kharake, Ashali; Pathare, Jyoti; Deshmukh, Pragati"
10.1007/s12517-021-07118-y	14	24-Sep-20	14-Apr-21	09-May-21	Research on dual pressure relief and outburst prevention model for deep floor rock roadways	"Wang, Zhonghua; Chen, Bing; Zhang, Yongjiang; Yang, Huiming; Jianjun, Cao"
10.1007/s12517-021-06864-3	14	14-Mar-20	01-Mar-21	24-Apr-21	Modeling directional distributions of wind data in the United Arab Emirates at different elevations	"Al Yammahi, Aishah; Marpu, Prashanth R.; Ouarda, Taha B. M. J."
10.1007/s12517-021-07103-5	14	19-Aug-19	12-Apr-21	02-May-21	Measurement of radionuclide contents and 222Rn/220Rn exhalation rate in soil samples from sub-mountainous region of India	"Kaur, Manpreet; Kumar, Ajay; Mehra, Rohit; Mishra, Rosaline; Bajwa, Bikramjit Singh"
10.1007/s12517-021-07154-8	14	25-Jun-20	23-Apr-21	04-May-21	Synopsis of the dramatic climate change in Iran: a seasonal synoptic analysis	"Fazel-Rastgar, Farahnaz"
10.1007/s12517-021-07028-z	14	25-Sep-19	29-Mar-21	15-May-21	"AVA-anisotropy: spreadsheets program to model the variation of P-wave reflectivity with angle in VTI, HTI, and orthorhombic media"	"Ahmed, Nisar; Ahmad, Mubasher; Khan, Khalid Amin; Weibull, Wiktor Waldemar; Khalid, Perveiz"
10.1007/s12517-021-07276-z	14	29-Jan-21	04-May-21	18-May-21	Spatiotemporal distribution of the Aura-OMI aerosol index and dust storm case studies over Iraq	"Al-Zuhairi, Munya F.; Kadhum, Jasim H."
10.1007/s12517-021-07250-9	14	05-Feb-21	01-May-21	16-May-21	Health-oriented optimization strategies of coastal fitness environment in Qingdao	"Xue, Kai; Liang, Xiaolin; Gao, Min"
10.1007/s12517-021-07056-9	14	09-Oct-20	30-Mar-21	12-May-21	"Concentration, sources, and inhalation-based risk assessment of PM2.5-bound PAHs and trace elements in ambient air of areas with low and high traffic density in Tehran"	"Maleki, Ramin; Asadgol, Zahra; Kermani, Majid; Jafari, Ahmad Jonidi; Arfaeinia, Hossein; Ghodsi, Soudabeh; Gholami, Mitra"
10.1007/s12517-021-07235-8	14	12-Jan-21	01-May-21	14-May-21	"Petrogenesis and U–Pb zircon dating of amphibolite in the Mewengo iron deposit, Nyong series, Cameroon: fingerprints of iron depositional geotectonic setting"	"Marion, Kwamou Wanang Merline; Djibril, Kouankap Nono Gus; Guimollaire, Nkouathio David; Patrick, Ayonta Kenne"
10.1007/s12517-021-07121-3	14	08-Jan-21	14-Apr-21	01-May-21	Influence of mechanical grinding on characterization of nanopores of tectonically deformed coal: a comparative study between coal chunks and crushed coal	"Cheng, Guoxi; Jiang, Bo; Li, Fengli; Song, Yu"
10.1007/s12517-021-07080-9	14	07-Jan-21	05-Apr-21	20-Apr-21	"Depositional facies and diagenesis of the Lianglitage Formation in northwestern Tazhong Uplift, Tarim Basin, China: implications for the genesis of ultra-deep limestone reservoir"	"Gao, Da; Lin, Changsong; Huang, Lili; Hu, Mingyi; Ren, Ping; Sun, Chunyan; Zhao, Yuru"
10.1007/s12517-021-06887-w	14	12-Jan-21	03-Mar-21	21-Apr-21	"Geochemistry and mineralogy of the Silurian Akkas Formation, Iraqi western desert: implications for palaeoweathering, provenance and tectonic setting"	"Al-Juboury, Ali I.; Hussain, Salim H.; Al-Lhaebi, Safwan H."
10.1007/s12517-021-07079-2	14	22-Oct-20	05-Apr-21	22-Apr-21	Applying hybrid artificial algorithms to the estimation of river flow: a case study of Karkheh catchment area	"Dehghani, Reza; Poudeh, Hassan Torabi"
10.1007/s12517-021-07170-8	14	26-Nov-20	23-Apr-21	02-May-21	Sediment yield prediction and prioritization of sub-watersheds in the Upper Subarnarekha basin (India) using SWAT	"Panda, Chinmaya; Das, Dwarika Mohan; Raul, Sanjay Kumar; Sahoo, Bharat Chandra"
10.1007/s12517-021-07131-1	14	13-Feb-21	16-Apr-21	30-Apr-21	Auxiliary use and detail optimization of computer VR technology in landscape design	"Shan, Pengyu; Sun, Wan"
10.1007/s12517-021-07069-4	14	08-May-18	01-Apr-21	24-Apr-21	"Color-based SAR image segmentation using HSV+FKM clustering for estimating the deforestation rate of LBA-ECO LC-14 modeled deforestation scenarios, Amazon basin: 2002–2050"	"Murugesan, Kalaiyarasi; Balasubramani, Perumal; Murugan, Pallikonda Rajasekaran; Sankaranarayanan, Saravanan"
10.1007/s12517-021-07133-z	14	25-Oct-20	20-Apr-21	24-Apr-21	Safe feasibility of retaining sand-proof coal rock pillars in full-mechanized caving mining of extra-thick coal seam	"Duan, Haodong; Zhu, Shuyun; Cao, Siwen; Zhang, Min"
10.1007/s12517-021-07109-z	14	28-Oct-20	13-Apr-21	22-Apr-21	Quality evaluation method of water isolating curtain in roadway of Gushan Iron Mine and its application	"Xu, Changyu; Han, Lijun"
10.1007/s12517-021-07226-9	14	26-Feb-21	29-Apr-21	12-May-21	High-speed railway and other transportations of attracted radius location by passenger travel cost model	"Li, Yanli; Li, Lifen; Li, Lijun"
10.1007/s12517-021-07142-y	14	04-Mar-19	22-Apr-21	07-May-21	Measurement of transit-oriented development (TOD) using GIS technique: a case study	"Khare, Rupali; Villuri, Vasanta Govind Kumar; Chaurasia, Devarshi; Kumari, Supriya"
10.1007/s12517-021-07096-1	14	10-Aug-20	09-Apr-21	06-May-21	Analyzing dynamics of degraded lands using NDVI time-series in a semi-arid region of India	"Bishnoi, Promila; Sharma, Praveen; Kumar, Elisha Mothi"
10.1007/s12517-021-07258-1	14	09-Dec-20	01-May-21	14-May-21	Centrifuge testing on the global stability of geosynthetic-reinforced and pile-supported embankment	"Xu, Chao; Zeng, Qingyuan; Yang, Yang"
10.1007/s12517-021-07285-y	14	12-Jan-21	07-May-21	14-May-21	"Well log-aided source rock potential, basin modeling, and seismic attributes: Petroleum geology case study of Pliocene discovery at South Mansoura Area (Nile Delta)"	"Elatrash, Ahmed M.; Abdelwahhab, Mohammad A.; Wanas, Hamdalla A.; El-Naggar, Samir I.; Elshayeb, Hasan M."
10.1007/s12517-021-07179-z	14	10-Feb-21	27-Apr-21	11-May-21	A flood disaster relief emergency material distribution strategy based on people’s psychological perception	"Zhong, Yinzhen"
10.1007/s12517-021-07043-0	14	02-Nov-20	29-Mar-21	10-May-21	"Hydrochemical characteristics and human health risk assessment of groundwater in the Shivalik region of Sutlej basin, Punjab, India"	"Mittal, Sunil; Sahoo, Prafulla Kumar; Sahoo, Sunil Kumar; Kumar, Ravishankar; Tiwari, Raghavendra Prasad"
10.1007/s12517-021-07161-9	14	02-Jan-20	23-Apr-21	12-May-21	Spatio-temporal analysis of changes in heat and cold waves across Iran over the statistical period 1966–2018	"Namroodi, Maryam; Hamidianpour, Mohsen; Poodineh, Mohammadreza"
10.1007/s12517-021-06542-4	14	28-Aug-19	16-Jul-20	12-May-21	Dynamic reservoir sand characterization of an oil field in the Niger Delta from seismic and well log data	"Ilozobhie, Anthony John; Egu, Daniel Ikechukwu"
10.1007/s12517-021-07063-w	14	18-Jun-20	31-Mar-21	20-Apr-21	Morphological-hydrological relationships and the geomorphological instantaneous unit hydrograph of Makkah Al-Mukarramah watersheds	"Niyazi, Burhan; Khan, Abdul A.; Masoud, Milad; Elfeki, Amro; Basahi, Jalal; Zaidi, Syed"
10.1007/s12517-021-07099-y	14	03-Mar-21	09-Apr-21	30-Apr-21	The prediction of wellhead pressure for multiphase flow of vertical wells using artificial neural networks	"Gomaa, Ibrahim; Gowida, Ahmed; Elkatatny, Salaheldin; Abdulraheem, Abdulazeez"
10.1007/s12517-021-07070-x	14	08-Mar-19	01-Apr-21	21-Apr-21	"Satellite data application for renewable energy: a comparative study in Khyber Pakhtunkhwa, Pakistan"	"Rafiq, Lubna; Tajbar, Sapna; Sahar, Najm Us; Farid, Faiza"
10.1007/s12517-021-07278-x	14	28-Mar-21	05-May-21	18-May-21	"Source rock properties and pore structural features of distinct thermally mature Permian shales from South Rewa and Jharia basins, India"	"Singh, Deependra Pratap; Singh, Vivek; Singh, Pradeep K; Hazra, Bodhisatwa"
10.1007/s12517-021-07083-6	14	19-Jun-20	07-Apr-21	27-Apr-21	A study of groundwater characteristics in the Songhua River basin of China	"Sun, Qifa; Sun, Zhuoan; Jia, Lingang; Tian, Hui; Guo, Xiaodong; Li, Xuguang; Zhu, Wei"
10.1007/s12517-021-07112-4	14	15-Jul-20	13-Apr-21	26-Apr-21	"Snow avalanche risk mapping using GIS-based multi-criteria decision analysis: the case of Van, Turkey"	"Nasery, Suhrabuddin; Kalkan, Kaan"
10.1007/s12517-021-07178-0	14	13-Nov-20	23-Apr-21	03-May-21	Evaluating Low-Impact Development practice performance to reduce runoff volume in an urban watershed in Algeria	"Abdelkebir, Brahim; Maoui, Ammar; Mokhtari, Elhadj; Engel, Bernard; Chen, Jingqiu; Aboelnour, Mohamed"
10.1007/s12517-021-07113-3	14	02-Dec-20	13-Apr-21	20-Apr-21	Bearing capacity behaviour of prestressed anchor cable under slope blasting excavation	"Li, Guofeng; Li, Ning; Yu, Chong; He, Mingming"
10.1007/s12517-021-06774-4	14	11-Jan-19	17-Feb-21	18-Apr-21	"Weathering processes and mapping of rock’s damage category using GIS at Yoshimi region, Japan"	"Kamh, Gamal Mohamed; Oguchi, C. T."
10.1007/s12517-021-07269-y	14	12-Jan-21	04-May-21	18-May-21	"Comparison of various drought indices for assessing drought status of the Northern Mekerra watershed, Northwest of Algeria"	"Elhoussaoui, Abdelghani; Zaagane, Mansour; Benaabidate, Lahcen"
10.1007/s12517-021-07271-4	14	01-Dec-18	04-May-21	14-May-21	Estimation of fractal dimension and b-value of earthquakes in the Himalayan region	"Jena, Ratiranjan; Ghansar, Tahani Abdul Aziz; Pradhan, Biswajeet; Rai, Abhishek Kumar"
10.1007/s12517-021-07223-y	14	11-Mar-21	29-Apr-21	18-May-21	A model of economic loss of environmental carrying capacity caused by flood disasters in urban tourism areas	"Liao, Bingwu; Yu, Songhao; Wang, Maoxuan"
10.1007/s12517-021-07146-8	14	13-Feb-21	22-Apr-21	17-May-21	Green urban vegetation planning and economic efficiency based on remote sensing images and grid geographic space	"Lu, Yuan; Lei, Lianghai"
10.1007/s12517-021-07254-5	14	11-Mar-21	01-May-21	18-May-21	Machine learning-based detection of mountain soil composition and environmental and ecological management of tourist areas	"Wei, Aiping"
10.1007/s12517-021-07181-5	14	04-Mar-21	27-Apr-21	16-May-21	Spatial structure of Zhengzhou Airport Economy Zone: its evolution and drivers	"Bai, Yangmin; Feng, Shaohong"
10.1007/s12517-021-07262-5	14	23-Feb-21	04-May-21	13-May-21	River wetland landscape planning and design from low-carbon perspective	"Li, Qin; Wang, Peng"
10.1007/s12517-021-07128-w	14	06-Jan-21	16-Apr-21	07-May-21	Origin and accumulation of natural gas in the Ningbo Tectonic Zone in the Xihu Sag	"He, Daxiang; Tang, Youjun; Shi, Rongfu"
10.1007/s12517-021-07219-8	14	13-Feb-21	29-Apr-21	11-May-21	Risk management system for sudden public water pollution accidents based on data information mining	"Qi, Quansong"
10.1007/s12517-021-07150-y	14	28-Sep-20	23-Apr-21	13-May-21	Optimizing transportation in the precast concrete plants	"Nicał, Aleksander"
10.1007/s12517-021-07228-7	14	14-Nov-20	29-Apr-21	06-May-21	Ameliorative effects of foliar spray of glycine betaine and gibberellic acid on cowpea (Vigna unguiculata L. Walp.) yield affected by drought stress	"Miri, MirReza; Ghooshchi, Farshad; Tohidi-Moghadam, Hamid Reza; Larijani, Hamid Reza; Kasraie, Pourang"
10.1007/s12517-021-07177-1	14	07-Dec-20	23-Apr-21	05-May-21	Evaluation of sediment transport empirical equations: case study of the Euphrates River West Iraq	"Sulaiman, Sadeq Oleiwi; Al-Ansari, Nadhir; Shahadha, Ahmed; Ismaeel, Rasha; Mohammad, Sura"
10.1007/s12517-021-07185-1	14	05-Jan-21	27-Apr-21	14-May-21	Pore aperture size (r36) calculation from porosity or permeability to distinguish dry and producing wells	"El Sayed, Abdel Moktader A.; El Sayed, Nahla A."
10.1007/s12517-021-07270-5	14	23-Dec-20	04-May-21	12-May-21	"Channel planform dynamics, avulsion and bankline migration: a study in the monsoon-dominated Dwarkeswar river, Eastern India"	"Ghosh, Biman; Mukhopadhyay, Sutapa"
10.1007/s12517-021-07156-6	14	15-Jan-21	23-Apr-21	08-May-21	Landslide susceptibility investigation for Idukki district of Kerala using regression analysis and machine learning	"Jones, Sheelu; Kasthurba, A. K.; Bhagyanathan, Anjana; Binoy, B. V."
10.1007/s12517-021-07229-6	14	05-Feb-21	29-Apr-21	14-May-21	"Can sulphur improve the nutrient uptake, partitioning, and seed yield of sesame?"	"Mehmood, Muhammad Zeeshan; Afzal, Obaid; Ahmed, Mukhtar; Qadir, Ghulam; Kheir, Ahmed M.S.; Aslam, Muhammad Aqeel; Din, Atta Mohi Ud; Khan, Imran; Hassan, Muhammad Jawad; Meraj, Tehseen Ahmad; Raza, Muhammad Ali; Ahmad, Shakeel"
10.1007/s12517-021-07194-0	14	28-Dec-20	27-Apr-21	06-May-21	"Spatial and temporal dynamics of phytoplankton in association with habitat parameters in a tropical reservoir, India"	"Parakkandi, Jesna; Saha, Ajoy; Sarkar, Uttam Kumar; Das, Basanta Kumar; Puthiyottil, Mishal; Muhammadali, Sajina Aliyamintakath; Ramteke, Mitesh; Johnson, Canciyal; Kumari, Suman"
10.1007/s12517-021-07217-w	14	21-Sep-20	29-Apr-21	04-May-21	"Assessing the contamination of trace toxic elements in the soils of sugar beet field (Beni-Mellal, Morocco)"	"Yassine, Aallam; Taoufik, El Rasafi; Rachid, Hakkou; Driss, Dhiba; Mohamed, Nouri; Abdelmajid, Haddioui; Hanane, Hamdali"
10.1007/s12517-021-07110-6	14	28-Oct-20	13-Apr-21	21-Apr-21	A mechanical model for the circular tunnel considering the interaction between the surrounding rock and support structure based on the unified strength criterion	"Liu, Hongyan"
10.1007/s12517-021-07084-5	14	25-Dec-20	07-Apr-21	21-Apr-21	Hydraulic flow units and ANFIS methods to predict permeability in heterogeneous carbonate reservoir: Middle East gas reservoir	"Abnavi, Ali Dehghan; Karimian Torghabeh, Amir; Qajar, Jafar"
10.1007/s12517-021-07085-4	14	07-Oct-20	07-Apr-21	22-Apr-21	Study on the oxidation and acidification characteristics of the sulfur-containing tailings material	"Chen, Wenzhao; Wang, Gang; Liu, Xiqi; Fan, Jiaqing; Xu, Mingnan; Fei, Botao; Long, Hui"
10.1007/s12517-021-07107-1	14	08-Jun-20	12-Apr-21	26-Apr-21	Geoenvironmental controls on the formation of human urinary calculi: a case study from Jordan	"Abboud, Iyad Ahmed; Habeeb, Talaat Hasan; Al Zoubi, Omar Mahmoud; Obeidat, Ahmad A."
10.1007/s12517-021-07132-0	14	24-Aug-20	19-Apr-21	26-Apr-21	Stress transfer and poroelasticity associated to major earthquakes in Africa	"Kariche, Jugurtha; Meghraoui, Mustapha"
10.1007/s12517-021-06706-2	14	13-Oct-20	11-Feb-21	18-Apr-21	"The Qutn granite, a hotspot-related A-type granite from the northeastern Arabian Shield?"	"Al-Saleh, Ahmad M.; Al-Omari, Faisal H."
10.1007/s12517-021-07054-x	14	17-Sep-20	30-Mar-21	22-Apr-21	Regression analysis between rock moduli: case studies from the Deriner/Artvin and Ermenek/Karaman dams	"Kayabaşı, Ali"
10.1007/s12517-021-07048-9	14	25-Dec-20	29-Mar-21	21-Apr-21	Solid bitumen in shales from the Middle to Upper Jurassic Sargelu and Naokelekan Formations of northernmost Iraq: implication for reservoir characterization	"Omar, Nagham; McCann, Tom; Al-Juboury, Ali I.; Suárez-Ruiz, Isabel"
10.1007/s12517-021-06915-9	14	02-Oct-20	08-Mar-21	18-Apr-21	"Study of structural, deformation temperature, and strain analysis of the quartzarenites of south-central Kaladgi basin, exposed at and around Mullur ghat and Kallur village of Belgaum district, Karnataka, India"	"Pujar, Anant; Puniya, Mohit Kumar; Hiremath, Marularadhya; Anjanappa, Sreenivasa"
10.1007/s12517-021-07033-2	14	26-May-20	29-Mar-21	30-Apr-21	Probabilistic seismic hazard assessment for the main cities along the continental section of the Cameroon volcanic line	"Ndibi, Etoundi Delair Dieudonné; Mbossi, Eddy Ferdinand; Wokwenmendam, Nguet Pauline; Ateba, Bekoa; Ndougsa-Mbarga, Théophile"
10.1007/s12517-021-07127-x	14	20-Nov-20	16-Apr-21	29-Apr-21	Paleoenvironments and source rock potential of Dorado North well in the Mannar Basin (Indian Ocean)	"Ratnayake, Amila Sandaruwan"
10.1007/s12517-021-07135-x	14	29-Jul-19	22-Apr-21	30-Apr-21	Modeling and forecasting of principal minerals production	"Saadat, Sunila; Hussain, Ijaz; Faisal, Muhammad"
10.1007/s12517-021-07155-7	14	30-Dec-20	23-Apr-21	04-May-21	"Using reflectance spectroscopy and Advanced Spaceborne Thermal Emission and Reflection Radiometer data to identify bauxite deposits in vicinity of Az Zabirah, northern Saudi Arabia"	"Ghrefat, Habes; Al Mutairi, Yasir; ElAraby, Hesham; Galmed, Mahmoud; Mohamed, Essam"
10.1007/s12517-021-06905-x	14	19-Jun-20	04-Mar-21	21-Apr-21	"Assessment of ground water pollution through metal index analysis and its source identification along the Delhi-Haryana boarder, India"	"Nathalia, Deepa; Suresh, Arjun; Panda, Banajarani"
10.1007/s12517-021-06981-z	14	08-Mar-19	17-Mar-21	20-Apr-21	"Frequency analysis of annual maximum rainfall series of fifteen meteorological observatories of Sindh, Pakistan"	"Hussain, Zamir; Khan, Imran Rafi; Nisar, Maryum; Nawaz, Uzma; Shafeeq ul Rehman Khan, Muhammad"
10.1007/s12517-021-07075-6	14	12-Jan-21	01-Apr-21	24-Apr-21	Temporal and spatial evolution patterns of drought in China over the past 500 years	"Wei, Cuixia; Guo, Bing; Zang, Wenqian; Yang, Fei; Lu, Yuefeng; Zhang, Dafu; Wu, Hongwei; Zhen, Xiaoyan; Xue, Haorun; Meng, Chao; Chen, Shuting; Yang, Xiao; Zhang, Hailing; Huang, Xiangzhi; Zhang, Rui"
10.1007/s12517-021-07018-1	14	20-Aug-20	26-Mar-21	24-Apr-21	Economic evaluation of rock oil project based on AHP algorithm	"Zhang, Nannan; Chai, Ruobing; Zheng, Jianchu"
10.1007/s12517-021-07123-1	14	06-Jan-21	14-Apr-21	26-Apr-21	"Mapping of groundwater opportunities for multi-purposes use in Beni-Suef province, Egypt"	"Heleika, Mohamed Abou; Toney, Sherif; Ismail, Esam"
10.1007/s12517-021-07136-w	14	25-Sep-20	22-Apr-21	06-May-21	"Near-surface seismic site characterization using Nakamura-based HVSR technique in the geological complex region of Kangra Valley, northwest Himalaya, India"	"Mahajan, Ambrish Kumar; Kumar, Praveen; Kumar, Pawan"
10.1007/s12517-021-07225-w	14	21-Feb-21	29-Apr-21	15-May-21	Research on scenic beauty estimation of plant landscape on the roof on SBE method	"Li, Haiying; Shi, Kexin; Wang, Yingxue; Li, Yang; Feng, Yi"
10.1007/s12517-021-07208-x	14	26-Jan-21	28-Apr-21	08-May-21	"Reply to “Discussion: Determining the Plasticity Properties of High Plastic Clays: a New Empirical Approach [Arab J Geosci (2020) 13(11), 394] Brendan O’Kelly and Amin Soltani”"	"Öser, Cihan"
10.1007/s12517-021-07120-4	14	22-Dec-20	14-Apr-21	30-Apr-21	"Geochronology and geochemistry of an early Silurian plagiogranite from Xiarihamu area, East Kunlun, northwest China: implications for Proto-Tethyan evolution"	"Li, Bin; Chen, Jing"
10.1007/s12517-021-07095-2	14	09-May-20	09-Apr-21	26-Apr-21	The trace and rare earth element contributions to the understanding of Chouichia iron-copper deposits in Northern Tunisia: metal sources interrelated with magmatism and metamorphism	"Ben Aissa, Rania; Ben Aissa, Wiem; Ben Haj Amara, Abdessalem; Ben Aissa, Lassaad; Tlig, Saïd"
10.1007/s12517-021-07114-2	14	06-Mar-20	13-Apr-21	09-May-21	A new methodology based on finite element method (FEM) for generation of the probability field of rock types from subsurface	"Marzavan, Silvia; Sebacher, Bogdan"
10.1007/s12517-021-07209-w	14	17-Dec-20	28-Apr-21	10-May-21	A k-means clustering–based approach for 3D mapping and characterization of rock faces using digital images	"Maiti, Abhik; Choudhary, Amrit; Chakravarty, Debashish"
10.1007/s12517-021-07176-2	14	20-Nov-20	23-Apr-21	03-May-21	Genetic analysis and resource evaluation of Dazhuang geothermal reservoir in the Minle Basin	"Zhang, Xinjun; Zhang, Haoyu; Cao, Zhiyong"
10.1007/s12517-021-07140-0	14	30-Dec-20	22-Apr-21	08-May-21	Estimation of ARIMA model parameters for drought prediction using the genetic algorithm	"Abbasi, Abbas; Khalili, Keivan; Behmanesh, Javad; Shirzad, Akbar"
10.1007/s12517-021-07066-7	14	05-Feb-21	31-Mar-21	26-Apr-21	Study of the hydraulic performance of PID bits based on a discrete phase model	"Zhang, Ruichao; Li, Lei; Xing, Xueyang; Dai, Xiaodong"
10.1007/s12517-021-07034-1	14	18-Jun-20	29-Mar-21	19-Apr-21	Real-time updating method of local geological model based on logging while drilling process	"Sun, Jian; Zhang, Rongjun; Chen, Mingqiang; Li, Qi; Sun, Yanwei; Ren, Long; Zhang, Wugang"
10.1007/s12517-021-06689-0	14	09-Jun-20	06-Feb-21	22-Apr-21	Facies-based model and basin architecture of the Eocene succession in Egypt (Eastern Desert and Sinai): an example for tectonically controlled sedimentation on the southern Tethyan margin	"El Ayyat, Abdalla M."
10.1007/s12517-021-07233-w	14	02-Jul-20	01-May-21	13-May-21	"Investigating effects of Nano particles of silica on the properties of self-compacting concrete containing Perlite, Leca, and Scoria light weight aggregates"	"Askari Dolatabad, Yosef; Abolpour, Bahador; Tazangi, Mohammad Amin Jamali"
10.1007/s12517-021-07125-z	14	27-Jul-20	16-Apr-21	16-May-21	"El Ramsa area, Southwestern Sinai, Egypt: radioactivity, mineralogy, and geochemistry studies"	"Nasr, Mahmoud M."
10.1007/s12517-021-07264-3	14	08-Dec-20	04-May-21	16-May-21	Simulating changes in soil carbon stocks for Quercus forests and upland rice fields under climate change scenarios in Manipur (India)	"Mishra, Gaurav; Takhelmayum, Menaka; Sarkar, Avishek; Soleimani, Azam; Francaviglia, Rosa"
10.1007/s12517-021-07205-0	14	11-Mar-21	28-Apr-21	17-May-21	Research on prediction model and numerical simulation of reservoir rock mechanical parameters based on remote sensing images	"Liu, Bowen; Zhong, Xiaoyong; Wang, Zhenwei"
10.1007/s12517-021-07196-y	14	08-Mar-21	27-Apr-21	17-May-21	Construction of eco-efficiency accounting model of forest resource based on green development	"Jin, Lijun; Tian, Guoshuang"
10.1007/s12517-021-07273-2	14	12-Mar-21	04-May-21	17-May-21	Atmospheric environmental changes and a multi-objective optimization model for energy conservation and environmental protection based on improved multi-population genetic algorithm	"Shi, Jianguo"
10.1007/s12517-021-07151-x	14	17-Dec-20	23-Apr-21	02-May-21	Simplified biogeochemical numerical model to predict pore fluid chemistry and calcite precipitation during biocementation of soil	"Sharma, Meghna; Satyam, Neelima; Tiwari, Nitin; Sahu, Shubham; Reddy, Krishna R."
10.1007/s12517-021-07038-x	14	28-Jul-20	29-Mar-21	20-Apr-21	"Paleoecologic implications of foraminiferal assemblages in the Upper Cretaceous-Paleogene strata, eastern Dahomey (Benin) Basin, southwestern Nigeria"	"Oluwajana, Oladotun A.; Adebambo, Bamidele A.; Olawuyi, Gabriel T.; Ewuji, John O.; Adejayan, Bridget A.; Ayodele, Oluwafemi D.; Adeniran, Peace M.; Arabi, Damilola O.; Adedokun, Toheeb A."
10.1007/s12517-021-07241-w	14	01-Oct-20	01-May-21	08-May-21	The effects of biomass ash on soil evaporation and cracking	"Li, Dongdong; Yang, Binbin; Gao, Zhilin; Sun, Linxuan"
10.1007/s12517-021-07279-w	14	23-Feb-21	06-May-21	14-May-21	Comprehensive analysis of environmental ecological restoration effect of mining area under the planting of arbor and shrub plant landscape	"Wu, Jianming"
10.1007/s12517-021-07210-3	14	11-Mar-21	29-Apr-21	15-May-21	Application of GIS real-time monitoring system in the ecological impact of marine tourism industry development and marine resource protection	"Ding, Xinqi; Li, Fei"
10.1007/s12517-021-07153-9	14	15-Jan-21	23-Apr-21	12-May-21	Evaluation of agricultural climate and regional agricultural economic efficiency based on remote sensing analysis	"Lu, Xiaolan"
10.1007/s12517-021-07231-y	14	22-Jul-20	01-May-21	15-May-21	Site characterization of strong-motion stations of Himalaya and adjoining plains	"Pandey, Bhavesh; Jakka, Ravi Sankar; Kumar, Ashok; Sharma, Mukat Lal"
10.1007/s12517-021-07287-w	14	19-Aug-20	07-May-21	16-May-21	Influence of human activities on meteorological drought and its trends in Iran	"Zarei, Abdol Rassoul; Mahmoudi, Mohammad Reza"
10.1007/s12517-021-07147-7	14	04-Sep-20	23-Apr-21	05-May-21	Landslide susceptibility mapping using information value method in Jhelum Valley of the Himalayas	"Farooq, Salman; Akram, Mian Sohail"
10.1007/s12517-021-07267-0	14	26-Apr-20	04-May-21	15-May-21	"Numerical analysis of the influence of the number of waste canister in borehole on the temperature, stress, and displacement in the near field of the high-level waste repository"	"Gao, Junyi"
10.1007/s12517-021-07224-x	14	24-Feb-21	29-Apr-21	15-May-21	Cost control model of marine crude oil pollutant degradation based on game analysis	"Dun, Rongli; Xue, Lin; Feng, Jiaxiang"
10.1007/s12517-021-07129-9	14	18-Nov-20	16-Apr-21	29-Apr-21	Experimental and simulation investigations of cyclic water injection in low-permeability reservoir	"Meng, Xuangang; Zhang, Qiukai; Dai, Xiaoxu; Xue, Saihong; Feng, Xiaowei; Zhang, Yi; Tu, Bin; Li, Xiangfang"
10.1007/s12517-021-07157-5	14	25-Jan-21	23-Apr-21	01-May-21	Reservoir protection and well completion technology for multi-branch horizontal wells in coalbed methane	"Ran, Xiaofeng; Zhang, Bo; Wei, Wei; Yu, Haifa; Liang, Wenjun; Wei, Kai"
10.1007/s12517-021-07162-8	14	08-Dec-19	23-Apr-21	01-May-21	"Geochemical characteristics and evaluation of the potentially toxic metals in surface and groundwater in Akamkpa-Biase, southeastern Nigeria"	"Sikakwe, Gregory Udie; Ilaumo, Bennett Uduak"
10.1007/s12517-021-07102-6	14	22-Nov-18	12-Apr-21	23-Apr-21	Study on characteristics of waterflooding in fractured reservoirs based on discrete fracture model	"Meng, Fanle; Li, Junjian; Jiang, Hanqiao; Zhao, Lin; Li, Linkai; Qiao, Yan; Zhou, Yu; Xu, Fei"
10.1007/s12517-021-06985-9	14	16-Jun-19	18-Mar-21	21-Apr-21	Solute transport characteristics of karst water tracing and its engineering application	"Wu, Jing; Jia, Chao; Li, Jinrui; Zhang, Lewen"
10.1007/s12517-021-07023-4	14	22-Jul-20	26-Mar-21	21-Apr-21	Geospatially mapping carbon stock for mountainous forest classes using InVEST model and Sentinel-2 data: a case of Bagrote valley in the Karakoram range	"Imran, Muhammad; Din, Noor ud"
10.1007/s12517-021-07098-z	14	25-Nov-20	09-Apr-21	18-Apr-21	Using GIS-based intelligent transportation systems in the enhancement of university campus commuting in a smart city context	"Qoradi, Mofareh D.; Al-Harbi, Mona S.; Aina, Yusuf A."
